Amplitude,Frequency
0.011315333333333337,0.0
0.00017857769135887046,0.1111111111111111
0.00023489768208996987,0.2222222222222222
0.000512791318226308,0.3333333333333333
0.0004437001435951963,0.4444444444444444
0.0004923061293409504,0.5555555555555556
0.0012231487969907085,0.6666666666666666
0.001905114274208217,0.7777777777777777
0.0004444855070912907,0.8888888888888888
0.00026131572018998515,1.0
0.0001621243115684648,1.1111111111111112
9.722077417745895e-05,1.222222222222222
6.7159502444959e-05,1.3333333333333333
4.8406682559494965e-05,1.4444444444444444
4.17093955400509e-05,1.5555555555555554
4.236855625628102e-05,1.6666666666666665
3.397963176756364e-05,1.7777777777777777
7.926531232411685e-05,1.8888888888888888
0.0001927066393383036,2.0
5.40869764688277e-05,2.111111111111111
0.0005445323394667382,2.2222222222222223
0.0005368684116469841,2.333333333333333
1.709521565470829e-05,2.444444444444444
9.696198428312969e-05,2.5555555555555554
4.9753664824279094e-05,2.6666666666666665
2.908997145638443e-05,2.7777777777777777
2.212688591357597e-05,2.888888888888889
3.400585259555747e-05,3.0
2.2218874480590137e-05,3.1111111111111107
4.2952589157235244e-05,3.222222222222222
4.37144994530021e-05,3.333333333333333
5.433044120609223e-05,3.444444444444444
0.00010872486842582605,3.5555555555555554
9.521581873779387e-05,3.6666666666666665
0.00039591431410941006,3.7777777777777777
0.000207843733808981,3.888888888888889
2.5547505097566543e-05,4.0
3.306658414204386e-05,4.111111111111111
4.588880715458384e-05,4.222222222222222
1.4374561024315305e-05,4.333333333333333
1.5285017985275687e-05,4.444444444444445
2.2948458156222866e-06,4.555555555555555
1.1386679621976991e-05,4.666666666666666
1.0167064388433803e-05,4.777777777777778
2.715841128390379e-05,4.888888888888888
5.551165405131482e-05,5.0
8.371452541041082e-05,5.111111111111111
0.00015410795728576678,5.222222222222222
0.00027015298614874135,5.333333333333333
8.25559397750649e-05,5.444444444444444
2.9742748472886396e-05,5.555555555555555
2.8709852489963508e-05,5.666666666666666
1.5516299974675445e-05,5.777777777777778
6.5819337527336255e-06,5.888888888888888
1.0644957445671904e-05,6.0
5.1703889130679596e-06,6.111111111111111
1.2707471579597196e-05,6.222222222222221
3.6483780442427504e-06,6.333333333333333
2.3399886406720696e-05,6.444444444444444
7.624742646562112e-05,6.555555555555555
3.838210804864391e-05,6.666666666666666
0.00016964386119333182,6.777777777777778
0.00018263059091066624,6.888888888888888
1.8294957970386565e-05,7.0
1.4446138464382743e-05,7.111111111111111
1.644383316967101e-05,7.222222222222221
1.0722016820851064e-05,7.333333333333333
6.09301869502897e-06,7.444444444444444
1.653120788011055e-05,7.555555555555555
6.046412221296845e-06,7.666666666666666
2.297372201818226e-05,7.777777777777778
1.9285799641398733e-05,7.888888888888888
2.279454189373161e-05,8.0
6.665474316511178e-05,8.11111111111111
3.929457542220471e-05,8.222222222222221
0.00017559533203525955,8.333333333333332
9.468495497035752e-05,8.444444444444445
1.1009496902491292e-05,8.555555555555555
1.0061442058290544e-05,8.666666666666666
2.1945266842160297e-05,8.777777777777777
7.166076603993264e-06,8.88888888888889
1.133981861908165e-05,9.0
3.2415399531628643e-06,9.11111111111111
1.1470619851132013e-05,9.222222222222221
7.177925335090245e-06,9.333333333333332
1.291196767546589e-05,9.444444444444445
3.886383587684429e-05,9.555555555555555
5.72452775468062e-05,9.666666666666666
7.805054312006823e-05,9.777777777777777
0.00014073265992104486,9.888888888888888
4.9849407964773254e-05,10.0
9.546734824339121e-06,10.11111111111111
1.4071577326477943e-05,10.222222222222221
7.3834578500673416e-06,10.333333333333332
9.484897024137817e-07,10.444444444444445
7.270201071158987e-06,10.555555555555555
3.651913706674439e-06,10.666666666666666
1.0564839168124596e-05,10.777777777777777
5.4021447294968275e-06,10.888888888888888
1.0921030277324663e-05,11.0
5.2929530829481385e-05,11.11111111111111
3.630332301201398e-05,11.222222222222221
9.597299836339259e-05,11.333333333333332
0.0001062537912372419,11.444444444444445
1.960017608766194e-05,11.555555555555555
3.1302227396399106e-06,11.666666666666666
1.005975094875428e-05,11.777777777777777
5.988145128375362e-06,11.888888888888888
1.4959334426832624e-06,12.0
1.050668652241071e-05,12.11111111111111
3.317274931668671e-07,12.222222222222221
1.6606713703720072e-05,12.333333333333332
1.1009734359275173e-05,12.444444444444443
1.366756650918206e-05,12.555555555555555
5.5525229575739564e-05,12.666666666666666
2.5305968857689415e-05,12.777777777777777
0.00010691777700951926,12.888888888888888
6.135318001800764e-05,13.0
1.8517379469109268e-05,13.11111111111111
4.571789728982389e-06,13.222222222222221
1.3417152420459662e-05,13.333333333333332
3.5319420679340815e-06,13.444444444444443
8.27425347720199e-06,13.555555555555555
3.922457542780015e-06,13.666666666666666
1.0056596828515984e-05,13.777777777777777
7.746015633712397e-06,13.888888888888888
1.2071392085955857e-05,14.0
3.277241997212687e-05,14.11111111111111
4.624981107684165e-05,14.222222222222221
4.7982573671430064e-05,14.333333333333332
9.270698096109628e-05,14.444444444444443
3.650007688540508e-05,14.555555555555555
8.548473146805916e-06,14.666666666666666
9.180645748808553e-06,14.777777777777777
5.591079188641505e-06,14.888888888888888
3.3942202656416725e-06,15.0
6.915096326958049e-06,15.11111111111111
3.697499533232287e-06,15.222222222222221
1.1160722485897475e-05,15.333333333333332
8.094569453988562e-06,15.444444444444443
3.459676021649459e-06,15.555555555555555
4.2188627143590806e-05,15.666666666666666
3.458406247206368e-05,15.777777777777777
6.446234182099395e-05,15.888888888888888
7.07237380289229e-05,16.0
2.0747343524293734e-05,16.11111111111111
8.466500523080824e-06,16.22222222222222
8.123251641603646e-06,16.333333333333332
5.095578036277947e-06,16.444444444444443
8.68612244281138e-07,16.555555555555554
6.64246130250581e-06,16.666666666666664
3.0662455681817954e-06,16.77777777777778
1.2787585922599789e-05,16.88888888888889
8.449712339587488e-06,17.0
9.659144368922548e-06,17.11111111111111
4.917614735683793e-05,17.22222222222222
2.020409054204953e-05,17.333333333333332
7.171653791715628e-05,17.444444444444443
4.538358939699196e-05,17.555555555555554
2.017507896887642e-05,17.666666666666664
5.6661638181051455e-06,17.77777777777778
9.570870945038903e-06,17.88888888888889
8.02892647990192e-07,18.0
5.6505960693152536e-06,18.11111111111111
4.1279031253303345e-06,18.22222222222222
7.989960310613242e-06,18.333333333333332
8.925061502469594e-06,18.444444444444443
1.264939408976952e-05,18.555555555555554
2.8572764033451432e-05,18.666666666666664
4.038138623486309e-05,18.777777777777775
3.109866907789716e-05,18.88888888888889
6.69110620772201e-05,19.0
2.8497993027166198e-05,19.11111111111111
1.2259225972343086e-05,19.22222222222222
7.3331396767589335e-06,19.333333333333332
5.8130169300365294e-06,19.444444444444443
4.28192384297086e-06,19.555555555555554
6.4213057562979955e-06,19.666666666666664
2.907036346735656e-06,19.777777777777775
1.1501150565844759e-05,19.88888888888889
9.316109611189083e-06,20.0
2.975967459853898e-06,20.11111111111111
3.630382255854073e-05,20.22222222222222
3.2065021220671256e-05,20.333333333333332
4.624623504959129e-05,20.444444444444443
4.979387178249188e-05,20.555555555555554
2.157448584798066e-05,20.666666666666664
9.892983926496717e-06,20.777777777777775
7.89135844865859e-06,20.88888888888889
5.3163315600304106e-06,21.0
2.187516108264366e-06,21.11111111111111
3.946737240809676e-06,21.22222222222222
4.632514811842068e-06,21.333333333333332
1.0215522365876721e-05,21.444444444444443
1.0502072382620751e-05,21.555555555555554
8.03637058138023e-06,21.666666666666664
4.362832263735507e-05,21.777777777777775
1.8138228958574093e-05,21.88888888888889
5.028211342919163e-05,22.0
3.539329144510214e-05,22.11111111111111
1.9295226982471366e-05,22.22222222222222
7.7322583548133e-06,22.333333333333332
7.99753015926599e-06,22.444444444444443
2.3045886062392083e-06,22.555555555555554
3.733505898495142e-06,22.666666666666664
3.878682917014919e-06,22.777777777777775
6.0290224716953015e-06,22.88888888888889
1.0039696590378602e-05,23.0
1.2768667794658345e-05,23.11111111111111
2.4660667204841897e-05,23.22222222222222
3.704072999865652e-05,23.333333333333332
2.043266549763877e-05,23.444444444444443
4.973865019541653e-05,23.555555555555554
2.302774174780615e-05,23.666666666666664
1.4826192535663955e-05,23.777777777777775
6.547644722824561e-06,23.88888888888889
6.998236576828046e-06,24.0
4.391606061154209e-06,24.11111111111111
5.5489065513421785e-06,24.22222222222222
1.7962146889598613e-06,24.333333333333332
1.0937204677268905e-05,24.444444444444443
9.890096431464891e-06,24.555555555555554
